teleplay_id,name,genre,type,episodes,rating,members,rating_2
1752,Di Gi Charat: Hoshi no Tabi,Comedy,long,1,6.8086977,1973,6.904761904761905
1141,Palme no Ki,"Adventure, Drama, Fantasy, Romance",long,1,6.604582,3462,6.779661016949152
8456,Queen&#039;s Blade: Utsukushiki Toushitachi,"Action, Adventure, Ecchi, Fantasy",short,6,6.688855,11540,6.8875
1376,Ojamajo Doremi Na-i-sho,"Comedy, Fantasy, Magic, Shoujo",short,13,7.5661855,3620,7.9787234042553195
21119,Sister Princess: Re Pure Character&#039;s,"Drama, Romance",Special,12,6.9213085,544,7.0
8294,Shinshou Genmukan,Restricted,short,4,6.554779,2261,6.645161290322581
9778,Toriko Hime: Hakudaku Mamire no Reijou,Restricted,short,2,6.3886166,3025,6.43859649122807
386,H2,"Comedy, Romance, Shounen, Sports",medium,41,6.831246,4450,7.38655462184874
8664,"Slime Boukenki: Umi da, Yeah!","Action, Adventure, Comedy, Fantasy, Game",Special,1,6.024126,403,6.25
31128,Arslan Senki (TV): Dakkan no Yaiba,"Action, Adventure, Drama, Fantasy, Historical, Supernatural",Special,1,6.175638,6686,6.469512195121951
4176,Wanna-Be&#039;s,"Action, Comedy, Sports",short,1,6.1611047,763,5.842105263157895
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",long,1,7.610886,94435,8.366563117763343
28247,Pankis! 2-jigen,"Comedy, Music",medium,24,6.7666373,331,7.0
2733,Mobile Police Patlabor: MiniPato,Parody,short,3,6.5494094,1831,6.977777777777778
12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Harem, Romance, Sci-Fi",short,4,6.273156,550,6.428571428571429
2585,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",short,1,7.3490133,2049,7.5
4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",long,1,7.4211373,1060,7.548387096774194
3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,"Drama, Fantasy, Romance",long,1,7.085073,1705,7.415384615384616
33914,Nineko Gelée: Opening Movie,"Fantasy, Music",Music,1,5.4470615,65,5.0
14125,Otogi no Kuni no Birthday,"Kids, Music",Music,1,4.6959915,144,3.0
3911,Shuukaku no Yoru,Restricted,short,2,6.421841,1558,6.481481481481482
1490,Ginga Tetsudou Monogatari,"Action, Adventure, Drama, Sci-Fi, Space",medium,26,7.686267,5947,7.535714285714286
23321,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",medium,25,7.605879,215817,7.759515203061875
19569,Junjou Shoujo Et Cetera,Restricted,short,2,6.3345075,2640,6.372093023255814
4191,Popolocrois Monogatari,"Adventure, Fantasy",medium,25,7.4929214,1260,7.923076923076923
1046,Elf wo Karu Mono-tachi II,"Adventure, Comedy, Fantasy",medium,12,7.079555,8004,7.29242819843342
30549,Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"Action, Drama, Mecha, Military, Sci-Fi",medium,13,7.5119915,6787,7.936507936507937
30395,Kuripuri*Kuripura,Comedy,long,1,3.8738978,104,1.0
1252,Fushigi no Umi no Nadia: Original Movie,"Action, Adventure, Drama, Historical, Mystery, Romance, Sci-Fi",long,1,5.618945,3644,5.8
20725,"Lies, Lies.",Music,Music,1,4.8730392,185,3.0
2227,Lady Lady!!,"Drama, Historical",medium,21,7.5202503,2681,8.046511627906977
2440,Suki da yo!,Restricted,short,2,6.0799847,1201,6.0588235294117645
313,Ace wo Nerae! (1979),"Drama, Romance, School, Shoujo, Sports",long,1,7.1231866,1564,7.135135135135135
13855,Queen&#039;s Blade: Rebellion Specials,Ecchi,Special,6,6.3502636,4989,6.296296296296297
20801,Koakuma Kanojo The Animation,"Restricted, School, Supernatural",short,2,7.610667,6680,7.693333333333333
5020,Zettai Shougeki: Platonic Heart,"Action, Ecchi, Martial Arts",short,5,5.025568,10887,5.297520661157025
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,"Mecha, Military, Sci-Fi, Space",short,3,7.2672997,7862,7.327272727272727
20189,Boku no Son Gokuu,"Adventure, Fantasy, Kids",long,1,6.4490485,186,6.0
1065,Touch,"Drama, Romance, School, Shounen, Slice of Life, Sports",medium,101,7.5240316,12833,8.271739130434783
19631,Tayu Tayu,"Harem, Restricted, Romance",short,4,6.6472635,3579,6.983606557377049
529,Saishuu Heiki Kanojo,"Drama, Romance, School, Sci-Fi",medium,13,6.9730096,58051,7.540352752538749
9205,Kaichuu!,"Comedy, Seinen, Sports",ONA,4,5.8414593,6941,6.144927536231884
30939,Shiranpuri,"Drama, School",short,1,8.549981,155,9.0
6939,Eien no Hou,"Fantasy, Sci-Fi",long,1,4.990397,581,4.866666666666666
7808,Zukkoke Knight: Don De La Mancha,"Adventure, Comedy, Historical, Romance",medium,23,6.0968566,172,5.75
16101,"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo","Fantasy, Seinen",ONA,1,6.2999744,3083,6.836363636363636
4220,Okon Joururi,"Drama, Fantasy, Historical",long,1,6.839988,177,7.0
406,Buzzer Beater,"Shounen, Sports",medium,13,7.0195293,8439,6.89776357827476
32668,Noblesse: Awakening,"Action, School, Supernatural, Vampire",ONA,1,7.2192535,28864,7.844370860927152
1503,Mahou Shoujo Pretty Sammy Specials,"Adventure, Comedy, Fantasy, Magic, Parody, Seinen",Special,7,5.9624186,798,6.0625
14227,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",medium,13,7.8298664,349836,7.865024995371227
12679,Joshiraku,"Comedy, Slice of Life",medium,13,7.2639055,51084,7.6580259222333
2811,Soratobu Yuureisen,"Adventure, Drama, Mecha, Sci-Fi",long,1,6.45996,2634,7.062015503875969
2348,Shitai wo Arau The Animation,Restricted,short,3,5.931658,1410,5.875
1655,Nerima Daikon Brothers,"Comedy, Music",medium,12,7.2503586,5374,7.592592592592593
8547,Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,"Comedy, Sci-Fi, Shounen",long,1,6.6477623,537,7.285714285714286
1050,Bobobo-bo Bo-bobo,"Adventure, Comedy, Sci-Fi, Shounen",medium,76,7.3990846,39041,7.587078651685394
3147,Me gumi no Daigo: Kajiba no Baka Yarou,Drama,long,1,6.286628,490,6.571428571428571
2578,TaoTao Ehonkan Sekai Doubutsu Banashi,"Adventure, Comedy, Fantasy, Kids",medium,52,6.8388534,656,6.857142857142857
448,Tenjou Tenge: The Ultimate Fight,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",short,2,7.3294888,29039,7.29560915275201
10456,Kyoukaisenjou no Horizon,"Action, Fantasy",medium,13,7.4894257,90977,7.595052083333333
9561,Shokupan Mimi,Comedy,medium,12,5.6679544,803,5.782608695652174
8718,Itsumademo Tabibito,"Drama, Music",Music,1,5.2541804,226,4.666666666666667
2317,Hen,"Comedy, Ecchi",short,2,5.3215504,2153,5.282608695652174
8310,Magic Kaito,"Adventure, Comedy, Romance, Shounen",Special,12,8.075471,27274,8.076566125290023
31927,Phantom of the Kill: Zero kara no Hangyaku,"Action, Adventure, Fantasy",long,1,6.5838423,4893,6.538461538461538
2762,Igano Kabamaru,"Adventure, Comedy, Romance, Shounen",medium,24,8.281592,5063,8.424418604651162
5597,Natsu no Arashi!,"Comedy, Romance, Supernatural",medium,13,7.5368505,30098,7.611275964391691
3470,Special A,"Comedy, Romance, School, Shoujo",medium,24,7.652806,173603,7.971914753015034
2947,Ojamajo Doremi Sharp Movie,"Kids, Magic, Shoujo",long,1,7.395363,2037,7.651515151515151
28817,Mikagura Gakuen Kumikyoku,"Action, Comedy, School, Shoujo Ai",medium,12,6.641754,47642,7.054794520547945
10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,medium,6,5.6776853,566,5.666666666666667
706,Comic Party Revolution,"Comedy, Drama",medium,13,6.812231,6690,6.860576923076923
808,Bakuretsu Hunters OVA,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power",short,3,6.221693,3686,6.690647482014389
11729,Space Neko Theater,Comedy,ONA,1,5.251981,584,5.375
31397,Mesu Kyoushi 4: Kegasareta Kyoudan,Restricted,short,2,6.5308967,2444,6.615384615384615
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",medium,12,8.192158,91796,8.23583535108959
621,Night Walker: Mayonaka no Tantei,"Action, Comedy, Horror, Mystery, Vampire",medium,12,6.744284,11143,7.2747875354107645
1606,Kekkaishi,"Adventure, Comedy, Fantasy, Shounen",medium,52,7.7151594,61884,7.8894056847545215
23735,Kenzen Robo Daimidaler Specials,"Comedy, Ecchi, Mecha, Seinen",Special,6,6.021367,3816,6.281553398058253
2101,Singles,"Romance, Shoujo",short,1,4.804604,161,4.5
8422,Vampire Knight: Gekiai no Portrait,"Comedy, Shoujo, Vampire",Special,1,6.8021927,23727,7.223841059602649
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,"Drama, Magic, Shoujo",long,1,7.513707,24968,7.726598702502317
2670,Doraemon Movie 12: Nobita no Dorabian Nights,"Adventure, Comedy, Fantasy, Kids, Shounen",long,1,7.397638,1833,7.3090909090909095
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.401605,106382,8.479935362240775
1760,Golgo 13,"Action, Adventure, Drama, Military, Seinen",long,1,6.826171,6344,6.826291079812207
1955,Kimagure Robot,"Comedy, Fantasy, Sci-Fi",medium,10,6.547067,1521,6.587301587301587
30070,Shiroi Zou (1981),"Action, Historical",long,1,5.7937455,73,6.0
6893,Oni Chichi,Restricted,short,2,6.9797235,23605,7.1453900709219855
4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,6.9922132,9610,7.344913151364764
1188,Momoiro Sisters,"Comedy, Slice of Life",medium,24,6.3183384,1366,6.5476190476190474
8465,Ichiban Ushiro no Daimaou Specials,"Comedy, Ecchi, Fantasy, Magic, Shounen",Special,6,7.094953,26025,6.960199004975125
14069,Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,Kids,ONA,1,5.44421,104,5.333333333333333
28587,Modern,nan,long,1,6.503586,237,7.0
5772,Akaneiro ni Somaru Saka: Hardcore,"Comedy, Ecchi, Harem, Romance",Special,1,6.648981,26925,6.67693522906793
12745,Bari Bari Densetsu (1987),"Action, Drama, Shounen, Sports",long,1,7.0093794,610,7.4
1853,Cutey Honey F,"Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo",medium,39,6.33324,3495,6.636363636363637
31510,Guitar,nan,long,1,4.8184233,47,4.0
2185,Words Worth Gaiden,"Action, Adventure, Fantasy, Restricted",short,2,5.9613895,2402,5.938461538461539
10936,Nekogami Yaoyorozu: Ohanami Ghostbusters,"Comedy, Seinen, Supernatural",short,1,6.1875577,2515,6.625
3171,Ryoujoku Hitozuma Onsen,Restricted,short,2,6.788637,2099,6.934782608695652
3463,A.LI.CE,Sci-Fi,long,1,6.067586,1034,6.041666666666667
6489,Zero no Tsukaima: Princesses no Rondo Picture Drama,"Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School",Special,7,6.7203927,23532,7.115168539325842
5682,Phantom: Requiem for the Phantom,"Action, Drama, Seinen, Thriller",medium,26,7.7078667,159105,8.306537530266343
1167,Samurai Gun,"Action, Historical, Seinen",medium,12,6.323963,5381,6.236641221374046
23581,Romeo no Aoi Sora Specials,"Adventure, Drama, Historical, Slice of Life",Special,2,6.2443924,297,6.0
4854,Fuuma no Kojirou: Yasha-hen,Action,short,6,6.7962646,819,7.111111111111111
2010,Taiho Shichau zo in America,"Action, Comedy, Police, Shounen",Special,1,6.774629,2584,6.604651162790698
617,Juubee Ninpuuchou,"Adventure, Fantasy, Historical, Horror, Romance, Shounen, Supernatural",long,1,7.0845366,55697,7.68863456985004
29834,Moshidora Recap,"Drama, Sports",Special,1,5.3485928,251,5.0
5399,Internal Medicine,Restricted,short,2,6.507407,846,6.588235294117647
5774,Seitokaichou ni Chuukoku,"Comedy, Drama, Romance, School, Yaoi",short,2,6.8736,23730,7.525917926565874
5914,Kanamemo,"Comedy, Ecchi, Shoujo Ai, Slice of Life",medium,13,6.735877,23757,7.143283582089552
33242,IS: Infinite Stratos 2 - Infinite Wedding,nan,Special,1,7.049177,6604,7.5
4775,Lunatic Night,"Comedy, Restricted, Parody",short,3,5.0472326,688,5.714285714285714
5607,Love Machine: Animaid Shoufu 23-gou,Restricted,short,2,5.685458,384,5.5
18683,Shibai Taroka,"Action, Comedy, Romance, School, Shounen",short,2,7.2965107,161,8.0
1866,Seirei Tsukai,"Action, Adventure, Fantasy, Magic, Romance, Shounen, Supernatural",long,1,6.0280952,1693,6.0588235294117645
1947,Kikou Sennyo Rouran,"Action, Fantasy, Mecha",medium,28,6.410783,1049,5.933333333333334
31573,Brave Beats,"Adventure, Music",medium,22,6.6224895,2299,6.931034482758621
18411,Gingitsune,"Seinen, Slice of Life, Supernatural",medium,12,6.7508373,33429,7.309471365638767
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",medium,25,8.65904,66756,8.774525745257453
33569,Re:Petit kara Hajimeru Isekai Seikatsu,"Adventure, Comedy, Fantasy",Special,14,6.9912167,14310,7.109489051094891
5447,A-Girl,"Music, Romance, School, Shoujo",short,1,5.2166643,585,4.833333333333333
13755,Feeling from Mountain and Water,Music,long,1,7.1042075,437,7.777777777777778
24197,E no Umakatta Tomodachi,Music,Music,1,5.681458,360,5.0
449,InuYasha: Guren no Houraijima,"Adventure, Comedy, Demons, Drama, Historical, Romance, Shounen, Supernatural",long,1,7.0581484,50008,7.6507795100222715
7343,Youbi Masochist Animation,Restricted,short,2,5.112899,201,4.0
30442,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film,Comedy,ONA,1,3.8070443,71,3.0
12135,Ra/Radio Noise*Planet,"Adventure, Psychological, Sci-Fi",short,1,6.317933,595,6.823529411764706
11073,Pokemon: Ash&#039;s Journey,"Fantasy, Kids",long,1,6.0503407,4578,6.837398373983739
7174,Usaru-san,Kids,Special,4,6.0004835,822,6.228571428571429
11911,Pretty Rhythm: Aurora Dream - Prism Shougekijou,"Comedy, Shoujo",Special,51,6.332651,1220,6.75
6116,Mainichi Kaasan,"Comedy, Slice of Life",medium,142,7.391201,1707,7.875
8546,Dr. Slump Movie 02: &quot;Hoyoyo!&quot; Uchuu Daibouken,"Comedy, Sci-Fi, Shounen",long,1,6.8539605,596,7.6
22835,Himegoto,"Comedy, School",medium,13,6.1481447,42129,6.278443113772455
20469,Himeyuri,"Drama, Historical",long,1,6.559051,395,7.0
25303,Haikyuu!! OVA,"Shounen, Sports",short,2,7.7476377,30063,7.983579638752053
27891,Sword Art Online II: Debriefing,"Action, Adventure, Fantasy, Game",Special,1,6.694554,39092,6.541519434628976
30218,The iDOLM@STER Cinderella Girls: Special Program,"Comedy, Music",Special,1,6.680889,1802,6.826086956521739
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",medium,74,7.078558,7581,7.661538461538462
13863,Arve Rezzle: Kikaijikake no Yousei-tachi,"Action, Drama, Mystery, Sci-Fi, Thriller",long,1,6.2864866,18770,6.597039473684211
8965,Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono,"Adventure, Comedy, Kids",short,1,6.3343163,745,7.2
5877,Abunai Sisters: Koko &amp; Mika,"Action, Comedy, Ecchi",short,10,4.171672,1461,2.8181818181818183
9496,Itoshi no Betty Mamonogatari,"Fantasy, Romance, Seinen",long,1,5.8752074,134,6.0
3518,Ginga no Uo Ursa Minor Blue,"Fantasy, Kids",short,1,6.115698,1568,6.72972972972973
19401,Kuusou no Sora Tobu Kikaitachi,Historical,long,1,6.943219,651,7.333333333333333
2451,Space Cobra,"Action, Adventure, Sci-Fi, Space",medium,31,7.5700107,6919,7.8321678321678325
869,Slayers Return,"Adventure, Comedy, Fantasy, Magic, Shounen",long,1,7.380427,12909,7.458041958041958
4052,Medarot Damashii,"Action, Adventure, Sci-Fi",medium,39,6.7634826,9590,6.807894736842106
33552,Mameshiba Bangai-hen,"Comedy, Music",Special,4,5.473098,117,5.333333333333333
2785,OZ,"Action, Drama, Military, Sci-Fi, Shoujo",short,2,6.7873445,720,7.4
30464,Shinmai Maou no Testament Specials,"Comedy, Demons, Ecchi, Fantasy",Special,6,6.529709,10046,6.877358490566038
30953,Arslan Senki (TV) Specials,Comedy,Special,8,6.2475567,5241,6.428571428571429
61,D.N.Angel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",medium,26,7.230258,126914,7.561586220708993
2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,"Action, Adventure, Drama, Sci-Fi, Space",medium,24,7.388153,2072,7.171428571428572
14355,Yama no Susume,"Adventure, Comedy, Slice of Life",medium,12,6.820636,27487,6.886944818304173
1353,The Urotsuki,"Adventure, Demons, Fantasy, Restricted, Horror",short,3,5.8975167,1480,6.425531914893617
10801,Copihan,"Comedy, School, Sci-Fi",ONA,7,5.5209737,6167,5.895604395604396
25839,Bonjour♪Koiaji Pâtisserie,"Comedy, Harem, Romance, Shoujo, Slice of Life",ONA,24,6.1171794,22127,6.4511627906976745
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",long,1,8.596764,32266,8.754653130287648
2200,Muteki Choujin Zanbot 3,"Action, Drama, Mecha, Sci-Fi, Shounen",medium,23,6.8636575,1570,6.903225806451613
5826,Oira no Yakyuu,Sports,long,1,6.0876493,866,5.8
7193,Aoi Bungaku Series,"Drama, Historical, Psychological, Seinen, Thriller",medium,12,7.415461,93074,7.995640326975477
4879,Mouryou no Hako,"Mystery, Seinen, Supernatural, Thriller",medium,13,7.1766844,36075,7.6
25377,TOTO Green Challenge,Slice of Life,ONA,1,5.524263,115,5.0
197,Rizelmine,"Comedy, Ecchi, Romance, School, Sci-Fi",medium,24,6.595417,16672,6.88391376451078
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",medium,13,7.0300283,67916,7.467706013363029
5575,Karakara-sama no Himitsu,Restricted,short,1,5.2139535,316,4.333333333333333
368,Bible Black,Restricted,short,6,6.9204073,31309,7.0627062706270625
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",medium,153,7.7974234,316102,8.169716142270861
3527,Lesbian Byoutou,Restricted,short,2,5.65037,1149,5.409090909090909
12487,Kyoukaisenjou no Horizon II,"Action, Fantasy, Sci-Fi",medium,13,7.811441,46781,7.935281837160751
19029,Yuyushiki: Nyanyashiki,Comedy,Special,6,6.2547417,6805,6.435582822085889
2067,Gekiganger 3: The Movie,"Action, Comedy, Mecha, Parody, Sci-Fi, Shounen",short,1,6.406817,2562,6.988636363636363
22057,"Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.","Comedy, Romance, Seinen, Supernatural",short,1,6.5732183,12930,7.1234567901234565
31763,Accel World: Infinite∞Burst,"Action, Game, Romance, School, Sci-Fi",long,1,7.0973244,21916,7.450704225352113
20187,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,Magic,Special,1,6.4925823,4545,6.669291338582677
819,Boku wa Imouto ni Koi wo Suru,"Romance, Shoujo",short,1,6.6606417,26923,6.779378316906747
25731,Cross Ange: Tenshi to Ryuu no Rondo,"Action, Mecha, Sci-Fi",medium,25,7.5185385,75807,7.647324306898775
5870,Hibari no Yadogae,Action,long,1,5.273578,519,5.285714285714286
30947,Kurayami Santa,"Historical, Supernatural",medium,13,5.8553686,1715,5.363636363636363
2208,Flutter of Birds II: Tenshi-tachi no Tsubasa,"Drama, Restricted, Romance",short,2,6.064352,827,6.4375
11043,Install Pilot,"Action, Sci-Fi, Shounen",Special,1,7.0287623,456,7.25
9608,Yuri Seijin Naoko-san,Comedy,short,1,6.02166,9485,5.983050847457627
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,"Action, Comedy, Mecha",long,1,7.821798,72933,8.312646370023419
4599,Tanoshii Willow Town,"Fantasy, Kids",medium,26,6.418362,295,6.461538461538462
20673,Hinata no Aoshigure,"Adventure, Fantasy, Romance",long,1,7.480784,6970,7.3984375
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,"Adventure, Comedy, Fantasy, Game, Sci-Fi",Special,1,6.159415,8891,6.389830508474576
3564,Pianist,Restricted,short,1,5.5646787,583,5.2
31798,Kiznaiver,"Drama, Sci-Fi",medium,12,7.8206234,197912,7.761095700416089
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",medium,26,6.37156,10392,6.744262295081967
33192,Robot Town Sagami 2028,Drama,ONA,1,5.6901875,386,5.8
2424,Cardcaptor Sakura Specials,Comedy,Special,3,7.246803,18604,7.649171270718232
9041,IS: Infinite Stratos,"Action, Comedy, Harem, Mecha, Sci-Fi",medium,12,7.4614034,254543,7.337497134998854
4726,Druaga no Tou: The Sword of Uruk,"Adventure, Fantasy",medium,12,7.2150784,46237,7.525080042689434
23989,Maken-Ki! Two Specials,Ecchi,Special,5,6.487975,7858,6.463276836158192
25159,Inou-Battle wa Nichijou-kei no Naka de,"Comedy, Romance, School, Slice of Life, Supernatural",medium,12,7.074666,144370,7.492026674398376
8215,Genji Tsuushin Agedama,"Action, Comedy, Parody, Sci-Fi",medium,51,5.462062,477,5.0
5702,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,"Action, Fantasy, Magic, Romance, Super Power",medium,9,6.982402,24799,7.475533249686324
5344,Time Bokan Series: Itadakiman,Mecha,medium,20,6.775869,298,7.0
876,Street Fighter II V,"Adventure, Drama, Mystery, Shounen",medium,29,6.903625,14002,7.366129032258065
12715,The Hakkenden: Shin Shou,"Action, Adventure, Demons, Historical, Martial Arts, Samurai, Shounen",short,7,6.5623727,1127,6.6
